                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 1.8713,                0.91453,                 1.1724,                 2.1285,                 1.0879,                 1.0979,                0.71137,                0.66769,                0.69203,                0.25747,                 2.0212,                0.96226,                 1.1984,                  2.236,                 1.0913,                 1.0946,               0.000416,               0.000416,               0.000416
                     83,                 1.9249,                0.93581,                 1.1544,                 2.1421,                 1.1057,                 1.0861,                0.71539,                0.67077,                0.70208,                0.27152,                 1.9979,                0.94925,                 1.1912,                 2.1499,                 1.0777,                  1.073,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.8933,                0.94551,                 1.1923,                 2.1277,                 1.1342,                 1.1195,                0.67737,                 0.6008,                0.63951,                0.23535,                 2.0656,                0.97651,                 1.2072,                 2.2611,                 1.1502,                 1.1001,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.8771,                0.92328,                 1.1732,                 2.1212,                 1.1159,                 1.0992,                0.73111,                0.59692,                0.67372,                0.25998,                 1.9776,                0.97321,                 1.1735,                  2.189,                 1.1134,                 1.0762,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.8826,                 0.9298,                   1.17,                 2.1117,                  1.094,                 1.0992,                  0.681,                0.66769,                0.68242,                0.25665,                 2.0425,                0.95132,                 1.2042,                 2.2023,                 1.1125,                 1.0911,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.8811,                0.95019,                 1.1686,                 2.1576,                   1.11,                 1.1049,                0.67512,                0.64308,                0.66478,                 0.2458,                 2.0421,                0.98935,                 1.1997,                 2.2165,                  1.139,                 1.0932,               0.000317,               0.000317,               0.000317
                     88,                 1.8593,                0.90175,                 1.1593,                 2.1197,                 1.0521,                 1.0859,                0.70277,                0.65477,                0.66779,                0.25552,                  2.034,                0.97793,                 1.2067,                 2.2133,                 1.0693,                 1.0943,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.8631,                 0.9066,                 1.1734,                 2.1194,                 1.0936,                 1.1025,                  0.696,                0.65538,                0.67366,                0.25378,                 2.0136,                0.96462,                 1.1913,                 2.2292,                 1.0795,                 1.0959,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.8862,                0.91362,                 1.1712,                 2.1297,                 1.1081,                 1.0976,                0.69341,                0.67692,                0.68433,                0.26202,                 2.0335,                0.96554,                 1.1914,                 2.1801,                 1.1106,                 1.0829,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.8718,                0.91583,                  1.208,                 2.0593,                 1.0964,                 1.1196,                0.71827,                0.64615,                0.68242,                0.26585,                 2.0095,                0.94808,                 1.1871,                 2.1939,                 1.0821,                 1.0917,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.8431,                 0.8933,                 1.1773,                  2.049,                 1.0573,                 1.1073,                0.66199,                0.68615,                0.68205,                0.26063,                 1.9986,                0.95987,                 1.1782,                 2.2013,                 1.1111,                 1.0878,               0.000218,               0.000218,               0.000218
                     93,                 1.8368,                0.89453,                 1.1894,                 2.0425,                 1.0753,                 1.1141,                0.67587,                0.67077,                0.65977,                0.24855,                 2.0826,                0.97093,                 1.2176,                 2.2487,                 1.1016,                 1.1023,              0.0001982,              0.0001982,              0.0001982
                     94,                  1.834,                0.86972,                 1.1644,                 2.0659,                 1.0476,                 1.0973,                0.71301,                0.65538,                0.69618,                0.26333,                 2.0288,                0.93971,                 1.2009,                 2.2087,                  1.087,                 1.0934,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.8475,                0.89089,                 1.1904,                 2.0397,                 1.0698,                 1.1084,                0.68581,                0.66154,                0.66457,                0.25471,                 2.0401,                0.96887,                 1.1985,                 2.2321,                 1.1034,                 1.0962,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.8337,                0.88462,                 1.1874,                 2.0231,                 1.0636,                 1.1054,                0.69979,                0.67077,                0.69006,                0.26507,                 2.0077,                0.95243,                 1.1888,                 2.2047,                 1.0831,                   1.09,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.8406,                 0.8936,                 1.1725,                 2.0163,                 1.0428,                 1.1014,                0.71835,                0.66707,                0.68952,                0.25818,                 2.0356,                0.96182,                 1.1951,                 2.2218,                 1.0935,                 1.0956,               0.000119,               0.000119,               0.000119
